model,manufactured_year,selling_price,transmission_type,mileage,fuel_type,tax,engine_size,car_age,miles_per_litre,Actual Price,Predicted Price,Error,Absolute Error,Percent Error (%)
 A4,2017,20900,Manual,15724,Diesel,150,2.0,8,14.8,20900.0,17204.02,-3695.98,3695.98,17.68
 Q5,2019,57895,Automatic,1255,Diesel,145,3.0,6,7.15,57895.0,46982.1,-10912.9,10912.9,18.85
 Q2,2019,31000,Semi-Auto,4264,Petrol,145,2.0,6,7.3,31000.0,28933.66,-2066.34,2066.34,6.67
 Q2,2019,22784,Manual,4569,Petrol,145,1.5,6,9.0,22784.0,23036.81,252.81,252.81,1.11
 Q7,2019,40495,Semi-Auto,8391,Diesel,150,3.0,6,7.39,40495.0,47127.7,6632.7,6632.7,16.38
 Q5,2016,23442,Semi-Auto,15744,Diesel,200,2.0,9,10.36,23442.0,23744.68,302.68,302.68,1.29
 Q8,2019,56990,Automatic,5000,Diesel,145,3.0,6,7.39,56990.0,54319.93,-2670.07,2670.07,4.69
 Q3,2019,29950,Semi-Auto,2451,Petrol,150,2.0,6,7.06,29950.0,32096.25,2146.25,2146.25,7.17
 Q3,2017,18350,Automatic,31000,Petrol,145,1.4,8,10.54,18350.0,18618.79,268.79,268.79,1.46
 A1,2018,16990,Manual,8300,Petrol,145,1.4,7,15.53,16990.0,15456.1,-1533.9,1533.9,9.03
 A1,2017,11949,Manual,10909,Petrol,0,1.0,8,14.8,11949.0,13737.84,1788.84,1788.84,14.97
 A6,2016,18275,Semi-Auto,64919,Diesel,125,2.0,9,12.96,18275.0,17425.06,-849.94,849.94,4.65
 A1,2015,10349,Manual,31509,Petrol,0,1.0,10,14.8,10349.0,10361.38,12.38,12.38,0.12
 Q3,2019,34995,Automatic,7126,Petrol,145,2.0,6,7.06,34995.0,30741.14,-4253.86,4253.86,12.16
 Q7,2020,46990,Automatic,5000,Diesel,145,3.0,5,7.39,46990.0,55972.76,8982.76,8982.76,19.12
 Q2,2019,23900,Manual,2728,Petrol,150,1.5,6,9.57,23900.0,23373.38,-526.62,526.62,2.2
 A3,2016,14991,Manual,25556,Petrol,20,1.4,9,13.22,14991.0,14387.88,-603.12,603.12,4.02
 A4,2016,17990,Manual,40500,Diesel,30,2.0,9,14.8,17990.0,14798.36,-3191.64,3191.64,17.74
 A5,2020,29888,Automatic,1500,Diesel,145,2.0,5,11.31,29888.0,33051.72,3163.72,3163.72,10.59
 Q3,2019,36497,Automatic,1000,Diesel,145,2.0,6,10.36,36497.0,29211.26,-7285.74,7285.74,19.96
 A3,2015,11999,Automatic,29460,Diesel,30,2.0,10,14.12,11999.0,13679.28,1680.28,1680.28,14.0
 Q7,2016,32989,Semi-Auto,48322,Diesel,200,3.0,9,10.54,32989.0,30335.48,-2653.52,2653.52,8.04
 A3,2012,6899,Manual,88394,Diesel,125,2.0,13,13.22,6899.0,7317.49,418.49,418.49,6.07
 Q5,2016,26390,Semi-Auto,37647,Diesel,240,3.0,9,9.41,26390.0,27215.96,825.96,825.96,3.13
 Q2,2018,23995,Manual,16534,Petrol,150,1.4,7,10.91,23995.0,18895.71,-5099.29,5099.29,21.25
 Q3,2019,25000,Manual,1000,Petrol,145,1.5,6,9.0,25000.0,25741.69,741.69,741.69,2.97
 A3,2017,17100,Manual,29545,Diesel,145,2.0,8,14.45,17100.0,15944.41,-1155.59,1155.59,6.76
 A5,2017,19999,Automatic,35662,Diesel,145,2.0,8,15.53,19999.0,19598.55,-400.45,400.45,2.0
 Q3,2016,16297,Manual,35940,Diesel,145,2.0,9,12.43,16297.0,16318.03,21.03,21.03,0.13
 A1,2017,11500,Manual,15421,Petrol,145,1.0,8,14.8,11500.0,12726.3,1226.3,1226.3,10.66
 A1,2016,11000,Manual,35002,Petrol,30,1.4,9,12.67,11000.0,12262.4,1262.4,1262.4,11.48
 Q3,2019,38990,Semi-Auto,1335,Petrol,145,2.0,6,7.06,38990.0,31399.7,-7590.3,7590.3,19.47
 Q3,2016,17500,Manual,24168,Diesel,160,2.0,9,10.91,17500.0,17912.13,412.13,412.13,2.36
 Q3,2019,35888,Semi-Auto,1856,Diesel,145,2.0,6,10.03,35888.0,29625.59,-6262.41,6262.41,17.45
 Q5,2019,52990,Automatic,5000,Diesel,145,3.0,6,7.59,52990.0,44955.07,-8034.93,8034.93,15.16
 A3,2020,35995,Semi-Auto,314,Petrol,150,2.0,5,7.68,35995.0,33113.21,-2881.79,2881.79,8.01
 A3,2015,13599,Manual,43523,Petrol,20,1.4,10,13.22,13599.0,12742.56,-856.44,856.44,6.3
 Q2,2017,21995,Manual,10962,Petrol,145,1.4,8,11.09,21995.0,17822.67,-4172.33,4172.33,18.97
 A1,2020,27990,Automatic,2500,Petrol,145,1.5,5,9.7,27990.0,24115.27,-3874.73,3874.73,13.84
 Q5,2019,41490,Semi-Auto,21400,Petrol,145,3.0,6,7.48,41490.0,40107.99,-1382.01,1382.01,3.33
 A3,2019,21691,Manual,2259,Diesel,145,1.6,6,11.31,21691.0,21671.8,-19.2,19.2,0.09
 Q7,2019,51950,Automatic,8206,Diesel,145,3.0,6,7.22,51950.0,46261.74,-5688.26,5688.26,10.95
 Q5,2018,39990,Semi-Auto,24233,Petrol,145,3.0,7,7.48,39990.0,37476.62,-2513.38,2513.38,6.29
 Q3,2014,12300,Automatic,43195,Diesel,200,2.0,11,10.54,12300.0,14053.39,1753.39,1753.39,14.26
 A4,2017,16990,Manual,20000,Diesel,150,2.0,8,14.8,16990.0,17021.46,31.46,31.46,0.19
 A1,2014,13750,Semi-Auto,24914,Petrol,20,1.4,11,13.22,13750.0,11543.15,-2206.85,2206.85,16.05
 A3,2015,13298,Manual,40321,Diesel,20,2.0,10,15.16,13298.0,12015.39,-1282.61,1282.61,9.65
 A1,2020,19250,Manual,2004,Petrol,145,1.0,5,10.71,19250.0,20478.77,1228.77,1228.77,6.38
 Q2,2017,16950,Manual,25000,Petrol,125,1.4,8,11.5,16950.0,17044.66,94.66,94.66,0.56
 A4,2016,16800,Automatic,44214,Diesel,30,2.0,9,14.45,16800.0,15659.71,-1140.29,1140.29,6.79
 Q8,2018,51250,Semi-Auto,1964,Diesel,145,3.0,7,7.39,51250.0,50593.79,-656.21,656.21,1.28
 A1,2015,9397,Manual,52200,Petrol,30,1.4,10,12.67,9397.0,10700.83,1303.83,1303.83,13.87
 A6,2019,30990,Automatic,2200,Diesel,145,2.0,6,10.54,30990.0,31018.48,28.48,28.48,0.09
 Q5,2017,24990,Semi-Auto,47124,Diesel,150,2.0,8,12.19,24990.0,23615.36,-1374.64,1374.64,5.5
 A5,2016,19690,Automatic,44717,Diesel,160,2.0,9,11.09,19690.0,18156.73,-1533.27,1533.27,7.79
 Q7,2012,14600,Automatic,95600,Diesel,300,3.0,13,8.4,14600.0,15287.73,687.73,687.73,4.71
 Q7,2019,53490,Automatic,6000,Diesel,145,3.0,6,7.3,53490.0,46478.87,-7011.13,7011.13,13.11
 Q2,2019,24490,Manual,6500,Petrol,145,1.5,6,8.62,24490.0,23042.49,-1447.51,1447.51,5.91
 A7,2017,25400,Semi-Auto,24592,Diesel,145,3.0,8,11.5,25400.0,26795.47,1395.47,1395.47,5.49
 A4,2019,22288,Manual,5654,Petrol,145,2.0,6,8.62,22288.0,23186.38,898.38,898.38,4.03
 A3,2019,30000,Automatic,289,Petrol,150,2.0,6,7.68,30000.0,29079.98,-920.02,920.02,3.07
 A6,2019,60000,Automatic,1000,Diesel,145,3.0,6,7.88,60000.0,40655.49,-19344.51,19344.51,32.24
 A3,2019,31950,Semi-Auto,6602,Petrol,145,2.0,6,7.68,31950.0,29712.57,-2237.43,2237.43,7.0
 A3,2017,21350,Semi-Auto,22100,Petrol,145,1.5,8,12.43,21350.0,18559.23,-2790.77,2790.77,13.07
 Q3,2017,22999,Semi-Auto,23250,Diesel,145,2.0,8,11.72,22999.0,20865.27,-2133.73,2133.73,9.28
 Q5,2014,15490,Semi-Auto,69798,Diesel,200,2.0,11,10.36,15490.0,15429.86,-60.14,60.14,0.39
 Q3,2018,27400,Semi-Auto,13768,Petrol,145,2.0,7,8.89,27400.0,26397.75,-1002.25,1002.25,3.66
 A4,2019,24990,Automatic,8499,Diesel,145,2.0,6,10.71,24990.0,24969.01,-20.99,20.99,0.08
 TT,2016,17498,Manual,20674,Petrol,160,2.0,9,10.18,17498.0,17077.09,-420.91,420.91,2.41
 A5,2013,11690,Automatic,44681,Diesel,125,2.0,12,12.96,11690.0,11553.5,-136.5,136.5,1.17
 A4,2016,15990,Manual,30625,Diesel,30,2.0,9,14.8,15990.0,15554.19,-435.81,435.81,2.73
 Q2,2018,22990,Manual,8057,Petrol,150,1.4,7,10.91,22990.0,20082.8,-2907.2,2907.2,12.65
 Q7,2018,49850,Semi-Auto,25800,Diesel,145,4.0,7,8.62,49850.0,52740.03,2890.03,2890.03,5.8
 A6,2015,10500,Automatic,118330,Diesel,30,2.0,10,14.12,10500.0,13212.19,2712.19,2712.19,25.83
 A4,2016,13900,Manual,37448,Petrol,125,2.0,9,10.91,13900.0,15306.01,1406.01,1406.01,10.12
 Q3,2019,37000,Semi-Auto,2263,Petrol,150,2.0,6,6.75,37000.0,33248.15,-3751.85,3751.85,10.14
 A5,2014,12743,Automatic,58953,Diesel,125,2.0,11,12.96,12743.0,12400.91,-342.09,342.09,2.68
 A5,2017,19985,Automatic,29500,Diesel,145,2.0,8,13.81,19985.0,19949.16,-35.84,35.84,0.18
 Q2,2017,20750,Manual,18354,Petrol,145,1.4,8,11.09,20750.0,17594.6,-3155.4,3155.4,15.21
 Q2,2019,21482,Manual,1998,Diesel,145,1.6,6,10.91,21482.0,21656.55,174.55,174.55,0.81
 A1,2017,14400,Manual,29271,Petrol,30,1.4,8,12.19,14400.0,13343.3,-1056.7,1056.7,7.34
 TT,2010,7995,Manual,91450,Diesel,145,2.0,15,11.72,7995.0,7693.16,-301.84,301.84,3.78
 A3,2019,21990,Manual,5341,Diesel,145,2.0,6,12.19,21990.0,22184.13,194.13,194.13,0.88
 A6,2018,22750,Automatic,25448,Diesel,145,2.0,7,12.43,22750.0,23856.41,1106.41,1106.41,4.86
 A6,2014,18498,Semi-Auto,36223,Diesel,235,3.0,11,9.85,18498.0,17687.47,-810.53,810.53,4.38
 A1,2016,9980,Manual,30394,Petrol,0,1.0,9,14.8,9980.0,11155.92,1175.92,1175.92,11.78
 A3,2019,31795,Semi-Auto,3036,Petrol,145,2.0,6,7.59,31795.0,29786.06,-2008.94,2008.94,6.32
 A5,2017,20990,Manual,40993,Diesel,150,2.0,8,14.45,20990.0,18535.64,-2454.36,2454.36,11.69
 TT,2017,22950,Automatic,18352,Petrol,150,2.0,8,9.41,22950.0,21686.68,-1263.32,1263.32,5.5
 A7,2020,38990,Semi-Auto,1200,Diesel,150,3.0,5,8.4,38990.0,48850.67,9860.67,9860.67,25.29
 A3,2016,13999,Manual,17363,Petrol,20,1.4,9,13.22,13999.0,14875.56,876.56,876.56,6.26
 A3,2017,12750,Manual,33761,Diesel,145,1.6,8,15.53,12750.0,14082.24,1332.24,1332.24,10.45
 A4,2019,24350,Automatic,16500,Diesel,145,2.0,6,10.91,24350.0,24656.62,306.62,306.62,1.26
 A4,2015,12300,Manual,27666,Diesel,30,2.0,10,14.45,12300.0,14239.21,1939.21,1939.21,15.77
 A1,2017,12000,Manual,29264,Diesel,150,1.6,8,16.78,12000.0,13730.96,1730.96,1730.96,14.42
 Q3,2017,18500,Manual,9203,Petrol,150,1.4,8,11.31,18500.0,18988.26,488.26,488.26,2.64
 Q5,2019,33000,Automatic,5207,Diesel,145,2.0,6,8.4,33000.0,33272.24,272.24,272.24,0.82
 Q3,2016,17498,Manual,29602,Diesel,145,2.0,9,11.5,17498.0,17405.49,-92.51,92.51,0.53
 Q5,2019,35950,Automatic,3003,Diesel,150,2.0,6,8.4,35950.0,34196.24,-1753.76,1753.76,4.88
 Q3,2019,26676,Manual,3125,Petrol,145,1.5,6,9.0,26676.0,25664.86,-1011.14,1011.14,3.79
 Q3,2015,19700,Automatic,19563,Diesel,160,2.0,10,11.09,19700.0,16715.92,-2984.08,2984.08,15.15
 Q3,2019,29490,Automatic,3027,Diesel,145,2.0,6,10.36,29490.0,29886.93,396.93,396.93,1.35
 Q3,2013,13025,Semi-Auto,46022,Diesel,200,2.0,12,10.54,13025.0,12518.33,-506.67,506.67,3.89
 A3,2016,16947,Automatic,11861,Petrol,30,1.4,9,12.67,16947.0,16784.52,-162.48,162.48,0.96
 Q7,2019,45450,Semi-Auto,14687,Diesel,145,3.0,6,7.22,45450.0,46833.98,1383.98,1383.98,3.05
 Q3,2019,32990,Automatic,7118,Diesel,145,2.0,6,8.51,32990.0,33810.4,820.4,820.4,2.49
 A1,2014,10995,Manual,36000,Petrol,125,1.4,11,11.5,10995.0,9735.51,-1259.49,1259.49,11.46
 A3,2015,10451,Manual,31983,Diesel,20,1.6,10,15.53,10451.0,11782.53,1331.53,1331.53,12.74
 Q3,2017,25500,Automatic,21090,Petrol,145,2.0,8,8.89,25500.0,21841.97,-3658.03,3658.03,14.35
 TT,2016,16490,Manual,25000,Diesel,30,2.0,9,13.81,16490.0,16367.29,-122.71,122.71,0.74
 A4,2017,19750,Semi-Auto,9806,Petrol,30,2.0,8,11.72,19750.0,18950.43,-799.57,799.57,4.05
 Q7,2019,59950,Semi-Auto,6227,Diesel,145,3.0,6,7.3,59950.0,47120.98,-12829.02,12829.02,21.4
 A1,2016,12995,Manual,38000,Petrol,30,1.4,9,12.43,12995.0,12048.49,-946.51,946.51,7.28
 Q3,2017,17998,Manual,19331,Diesel,125,2.0,8,12.69,17998.0,18688.13,690.13,690.13,3.83
 A4,2013,12495,Automatic,45582,Petrol,200,2.0,12,8.89,12495.0,12022.14,-472.86,472.86,3.78
 A5,2009,5495,Manual,108000,Petrol,160,2.0,16,9.41,5495.0,6489.41,994.41,994.41,18.1
 Q2,2019,18896,Manual,5988,Diesel,145,1.6,6,10.91,18896.0,20754.75,1858.75,1858.75,9.84
 Q3,2020,29970,Manual,1015,Petrol,150,1.5,5,9.0,29970.0,29285.93,-684.07,684.07,2.28
 A3,2016,9712,Manual,60901,Diesel,20,2.0,9,15.16,9712.0,12034.99,2322.99,2322.99,23.92
 Q8,2019,51490,Semi-Auto,9804,Diesel,145,3.0,6,7.39,51490.0,54650.66,3160.66,3160.66,6.14
 Q3,2016,17200,Manual,27410,Diesel,145,2.0,9,11.5,17200.0,17496.21,296.21,296.21,1.72
 A3,2019,18830,Manual,9640,Petrol,145,1.5,6,9.41,18830.0,20744.9,1914.9,1914.9,10.17
 A5,2015,14500,Semi-Auto,56875,Diesel,150,2.0,10,11.72,14500.0,14507.2,7.2,7.2,0.05
 A5,2019,35850,Automatic,10500,Diesel,145,2.0,6,10.54,35850.0,28984.34,-6865.66,6865.66,19.15
 Q5,2019,34498,Semi-Auto,21,Petrol,145,2.0,6,7.06,34498.0,35994.85,1496.85,1496.85,4.34
 Q5,2016,19600,Semi-Auto,43316,Diesel,200,2.0,9,10.36,19600.0,20132.28,532.28,532.28,2.72
 Q3,2019,30000,Automatic,3033,Petrol,150,1.5,6,8.4,30000.0,28599.34,-1400.66,1400.66,4.67
 TT,2019,31946,Semi-Auto,5500,Petrol,145,2.0,6,7.48,31946.0,31468.83,-477.17,477.17,1.49
 A3,2015,9800,Manual,40573,Diesel,0,1.6,10,16.34,9800.0,10663.92,863.92,863.92,8.82
 Q5,2016,20495,Semi-Auto,38000,Diesel,200,2.0,9,10.36,20495.0,20482.05,-12.95,12.95,0.06
 Q3,2016,12000,Manual,92930,Diesel,125,2.0,9,12.43,12000.0,13828.21,1828.21,1828.21,15.24
 Q2,2020,26995,Manual,2000,Petrol,145,1.5,5,9.57,26995.0,25892.62,-1102.38,1102.38,4.08
 Q5,2018,38900,Semi-Auto,20300,Petrol,145,3.0,7,7.48,38900.0,38132.42,-767.58,767.58,1.97
 A1,2015,10598,Manual,26300,Diesel,0,1.6,10,17.75,10598.0,11013.45,415.45,415.45,3.92
 Q7,2017,37900,Semi-Auto,22100,Diesel,150,3.0,8,10.54,37900.0,35517.26,-2382.74,2382.74,6.29
 A5,2014,12199,Automatic,57873,Diesel,125,2.0,11,12.96,12199.0,12440.58,241.58,241.58,1.98
 A6,2018,23489,Semi-Auto,9452,Petrol,145,1.8,7,10.54,23489.0,25772.64,2283.64,2283.64,9.72
 A5,2019,36995,Automatic,9256,Diesel,145,2.0,6,10.03,36995.0,29808.34,-7186.66,7186.66,19.43
 Q3,2016,20994,Automatic,22226,Petrol,200,2.0,9,8.89,20994.0,20396.73,-597.27,597.27,2.84
 Q2,2017,17188,Manual,9249,Diesel,30,1.6,8,14.12,17188.0,19094.1,1906.1,1906.1,11.09
 A1,2017,11990,Manual,32400,Petrol,145,1.0,8,14.8,11990.0,12037.97,47.97,47.97,0.4
 A1,2018,14750,Manual,22500,Petrol,150,1.0,7,10.54,14750.0,16706.74,1956.74,1956.74,13.27
 Q3,2019,30990,Automatic,6000,Diesel,145,2.0,6,10.36,30990.0,29323.62,-1666.38,1666.38,5.38
 Q3,2012,11000,Manual,54080,Diesel,160,2.0,13,10.91,11000.0,9778.45,-1221.55,1221.55,11.1
 Q3,2020,34210,Semi-Auto,1766,Petrol,145,2.0,5,6.97,34210.0,37372.86,3162.86,3162.86,9.25
 RS6,2017,61700,Automatic,22558,Petrol,145,4.0,8,6.47,61700.0,55145.99,-6554.01,6554.01,10.62
 Q3,2017,23995,Semi-Auto,25667,Petrol,145,2.0,8,8.89,23995.0,22841.82,-1153.18,1153.18,4.81
 A1,2013,7610,Manual,42580,Petrol,125,1.4,12,11.72,7610.0,8698.46,1088.46,1088.46,14.3
 A5,2016,18480,Semi-Auto,40586,Diesel,145,2.0,9,12.43,18480.0,17292.49,-1187.51,1187.51,6.43
 A5,2020,31246,Semi-Auto,3000,Petrol,145,2.0,5,8.89,31246.0,31744.64,498.64,498.64,1.6
 A1,2016,14995,Manual,13961,Petrol,30,1.4,9,12.96,14995.0,13572.13,-1422.87,1422.87,9.49
 Q3,2018,19990,Manual,22465,Diesel,150,2.0,7,12.43,19990.0,20290.57,300.57,300.57,1.5
 A4,2020,31495,Automatic,2500,Diesel,145,2.0,5,11.09,31495.0,30358.04,-1136.96,1136.96,3.61
 Q2,2018,20000,Manual,12167,Petrol,150,1.4,7,11.09,20000.0,19244.87,-755.13,755.13,3.78
 Q5,2019,31490,Semi-Auto,9685,Diesel,145,2.0,6,8.4,31490.0,33462.19,1972.19,1972.19,6.26
 Q7,2016,27057,Automatic,60569,Diesel,200,3.0,9,10.54,27057.0,28501.77,1444.77,1444.77,5.34
 Q5,2019,37000,Automatic,2104,Diesel,150,2.0,6,8.4,37000.0,34822.17,-2177.83,2177.83,5.89
 A4,2016,13985,Manual,55697,Diesel,20,2.0,9,15.53,13985.0,13847.36,-137.64,137.64,0.98
 A4,2017,16998,Manual,34870,Petrol,145,1.4,8,11.31,16998.0,15062.21,-1935.79,1935.79,11.39
 Q3,2017,19712,Semi-Auto,58021,Diesel,145,2.0,8,11.72,19712.0,19071.62,-640.38,640.38,3.25
 A6,2016,19495,Manual,25718,Diesel,125,2.0,9,12.96,19495.0,16684.39,-2810.61,2810.61,14.42
 Q3,2016,16342,Semi-Auto,63345,Diesel,160,2.0,9,11.09,16342.0,17481.08,1139.08,1139.08,6.97
 A4,2020,32000,Semi-Auto,20,Diesel,145,2.0,5,11.31,32000.0,32852.74,852.74,852.74,2.66
 A1,2018,14750,Manual,20546,Petrol,145,1.4,7,12.19,14750.0,15693.32,943.32,943.32,6.4
 A4,2016,17998,Manual,20885,Diesel,30,2.0,9,14.12,17998.0,16509.29,-1488.71,1488.71,8.27
 Q5,2016,23695,Semi-Auto,14618,Diesel,200,2.0,9,10.36,23695.0,24075.08,380.08,380.08,1.6
 Q2,2019,30950,Automatic,5204,Petrol,145,2.0,6,7.3,30950.0,28221.04,-2728.96,2728.96,8.82
 TT,2007,4995,Manual,102000,Petrol,145,2.0,18,12.43,4995.0,4507.74,-487.26,487.26,9.75
 A1,2017,14995,Manual,9500,Petrol,145,1.4,8,12.19,14995.0,14252.12,-742.88,742.88,4.95
 A4,2016,10200,Manual,88151,Diesel,20,2.0,9,15.53,10200.0,12703.23,2503.23,2503.23,24.54
 A4,2019,24650,Manual,3750,Petrol,145,2.0,6,8.4,24650.0,24182.57,-467.43,467.43,1.9
 R8,2014,51990,Semi-Auto,19800,Petrol,570,4.2,11,5.02,51990.0,51922.91,-67.09,67.09,0.13
 A4,2019,24680,Automatic,2877,Diesel,145,2.0,6,11.09,24680.0,25923.67,1243.67,1243.67,5.04
 A1,2020,21840,Semi-Auto,4000,Petrol,150,1.5,5,9.85,21840.0,25066.11,3226.11,3226.11,14.77
 Q7,2019,46990,Semi-Auto,3264,Diesel,145,3.0,6,7.39,46990.0,46746.55,-243.45,243.45,0.52
 A3,2019,22061,Manual,2392,Diesel,145,1.6,6,11.31,22061.0,21723.52,-337.48,337.48,1.53
 Q2,2017,18650,Manual,24000,Diesel,30,1.6,8,13.51,18650.0,17262.2,-1387.8,1387.8,7.44
 A4,2020,44500,Automatic,3911,Diesel,145,3.0,5,8.89,44500.0,44749.51,249.51,249.51,0.56
 A4,2014,8500,Automatic,96000,Diesel,150,2.0,11,11.72,8500.0,9825.07,1325.07,1325.07,15.59
 A6,2014,12295,Manual,64880,Diesel,30,2.0,11,13.81,12295.0,12712.57,417.57,417.57,3.4
 Q2,2019,20850,Manual,84,Diesel,145,1.6,6,10.91,20850.0,21199.93,349.93,349.93,1.68
 A1,2017,15490,Semi-Auto,12782,Petrol,145,1.4,8,12.43,15490.0,15829.78,339.78,339.78,2.19
 Q5,2020,36995,Semi-Auto,50,Diesel,145,2.0,5,8.4,36995.0,39141.13,2146.13,2146.13,5.8
 A3,2017,20990,Automatic,31376,Diesel,125,2.0,8,12.69,20990.0,18298.77,-2691.23,2691.23,12.82
 A5,2019,31990,Automatic,5000,Diesel,145,2.0,6,10.36,31990.0,29255.26,-2734.74,2734.74,8.55
 A3,2017,12595,Semi-Auto,36633,Petrol,20,1.0,8,13.81,12595.0,17858.18,5263.18,5263.18,41.79
 A1,2015,9580,Manual,44141,Petrol,30,1.4,10,12.67,9580.0,10936.37,1356.37,1356.37,14.16
 A3,2020,16999,Manual,2718,Petrol,150,1.0,5,10.91,16999.0,20234.78,3235.78,3235.78,19.04
 Q3,2015,13300,Manual,54890,Diesel,125,2.0,10,13.22,13300.0,13770.87,470.87,470.87,3.54
 Q7,2017,37442,Semi-Auto,20801,Diesel,145,3.0,8,10.54,37442.0,35509.63,-1932.37,1932.37,5.16
 A1,2016,9895,Manual,75189,Diesel,0,1.6,9,17.75,9895.0,10432.65,537.65,537.65,5.43
 RS3,2019,47990,Semi-Auto,3584,Petrol,145,2.5,6,6.53,47990.0,38702.12,-9287.88,9287.88,19.35
 A5,2014,11998,Manual,49640,Diesel,30,2.0,11,14.12,11998.0,12252.13,254.13,254.13,2.12
 A3,2014,12640,Automatic,56508,Diesel,125,2.0,11,12.96,12640.0,10990.71,-1649.29,1649.29,13.05
 A5,2016,16475,Manual,30748,Diesel,145,2.0,9,11.94,16475.0,16610.0,135.0,135.0,0.82
