model,manufactured_year,price,mileage,tax,miles_per_gallon,engine_size,car_age,price_per_engine_size,mileage_per_year,transmission_manual,transmission_semi_auto,fuel_type_hybrid,fuel_type_petrol
 A1,2017,12800,20351,30,55.4,1.4,8,9142.857142857143,2543.875,1,0,0,1
 A4,2017,16000,58028,145,52.3,2.0,8,8000.0,7253.5,0,0,0,1
 A5,2017,20000,44783,145,62.8,2.0,8,10000.0,5597.875,0,0,0,0
 A4,2014,11950,60604,20,67.3,2.0,11,5975.0,5509.454545454545,1,0,0,0
 A4,2013,9400,39998,30,65.7,2.0,12,4700.0,3333.1666666666665,1,0,0,0
 A4,2017,20000,20852,30,65.7,2.0,8,10000.0,2606.5,0,0,0,0
 A6,2016,13300,79728,30,64.2,2.0,9,6650.0,8858.666666666666,1,0,0,0
 A6,2017,18500,29095,20,64.2,2.0,8,9250.0,3636.875,0,0,0,0
 A3,2013,8300,98940,0,74.3,1.6,12,5187.5,8245.0,1,0,0,0
 A1,2016,13500,22780,30,58.9,1.4,9,9642.857142857143,2531.1111111111113,1,0,0,1
 A5,2018,19800,20832,150,47.1,2.0,7,9900.0,2976.0,1,0,0,1
 Q3,2016,15400,29196,145,55.4,2.0,9,7700.0,3244.0,0,0,0,0
 A4,2017,13900,14392,145,53.3,1.4,8,9928.57142857143,1799.0,1,0,0,1
 A4,2018,15600,20070,145,52.3,1.4,7,11142.857142857143,2867.1428571428573,1,0,0,1
 A6,2016,16200,89334,30,62.8,3.0,9,5400.0,9926.0,0,0,0,0
 A1,2016,10600,21428,0,67.3,1.0,9,10600.0,2380.8888888888887,1,0,0,1
 A4,2016,14300,45485,20,70.6,2.0,9,7150.0,5053.888888888889,1,0,0,0
 Q3,2016,14700,32704,30,60.1,2.0,9,7350.0,3633.777777777778,1,0,0,0
 Q3,2018,19100,42209,145,42.2,2.0,7,9550.0,6029.857142857143,0,0,0,1
 A4,2017,18100,17278,145,48.7,1.4,8,12928.57142857143,2159.75,1,0,0,1
 A1,2017,11400,29515,0,67.3,1.0,8,11400.0,3689.375,1,0,0,1
 A3,2014,11600,43662,20,67.3,2.0,11,5800.0,3969.2727272727275,1,0,0,0
 A4,2017,17300,45225,145,62.8,2.0,8,8650.0,5653.125,0,0,0,0
 A6,2017,16400,45491,30,61.4,2.0,8,8200.0,5686.375,1,0,0,0
 Q5,2014,17100,52267,235,37.7,2.0,11,8550.0,4751.545454545455,1,0,0,1
 A3,2014,11498,40807,125,50.4,1.8,11,6387.777777777777,3709.7272727272725,0,1,0,1
 Q3,2014,11698,65959,160,49.6,2.0,11,5849.0,5996.272727272727,1,0,0,0
 Q5,2014,18998,47648,260,35.8,2.0,11,9499.0,4331.636363636364,0,1,0,1
 Q5,2017,25498,27948,145,40.9,2.0,8,12749.0,3493.5,0,1,0,1
 A4,2013,10498,31169,145,49.6,1.8,12,5832.222222222222,2597.4166666666665,1,0,0,1
 A4,2013,9498,42011,145,47.1,2.0,12,4749.0,3500.9166666666665,0,0,0,1
 A6,2015,19998,56115,160,50.4,3.0,10,6666.0,5611.5,0,1,0,0
 A6,2015,16798,65835,125,61.4,2.0,10,8399.0,6583.5,0,1,0,0
 A6,2017,23998,63383,145,45.6,3.0,8,7999.333333333333,7922.875,0,1,0,0
 Q5,2017,36998,34011,145,34.0,3.0,8,12332.666666666666,4251.375,0,1,0,1
 A5,2014,13998,52132,160,49.6,3.0,11,4666.0,4739.272727272727,0,1,0,0
 A4,2015,15995,38787,145,55.4,2.0,10,7997.5,3878.7,1,0,0,0
 A1,2017,13495,34554,150,55.4,1.4,8,9639.285714285716,4319.25,1,0,0,1
 Q5,2017,30985,17502,145,40.4,2.0,8,15492.5,2187.75,0,1,0,1
 TT,2019,29485,3000,145,40.9,2.0,6,14742.5,500.0,0,0,0,1
 A6,2015,16985,34646,30,61.4,2.0,10,8492.5,3464.6,1,0,0,0
 Q5,2017,26485,18000,150,56.5,2.0,8,13242.5,2250.0,0,1,0,0
 Q3,2018,23985,17085,150,47.9,1.4,7,17132.14285714286,2440.714285714286,0,1,0,1
 A1,2017,12485,48166,20,72.4,1.6,8,7803.125,6020.75,1,0,0,0
 Q5,2015,22485,38421,205,47.1,2.0,10,11242.5,3842.1,0,1,0,0
 A5,2015,16498,46637,30,61.4,2.0,10,8249.0,4663.7,1,0,0,0
 A3,2016,11998,24468,0,74.3,1.6,9,7498.75,2718.6666666666665,1,0,0,0
 Q5,2017,24985,29343,200,47.1,2.0,8,12492.5,3667.875,0,0,0,0
 A3,2019,17985,8449,145,51.4,1.6,6,11240.625,1408.1666666666667,1,0,0,0
 A5,2017,20485,34679,30,65.7,2.0,8,10242.5,4334.875,1,0,0,0
 A3,2018,16985,23860,145,60.1,1.0,7,16985.0,3408.5714285714284,0,1,0,1
 A4,2018,30985,21009,145,35.8,3.0,7,10328.333333333334,3001.285714285714,0,0,0,1
 A6,2019,29985,1881,145,47.9,2.0,6,14992.5,313.5,0,0,0,0
 A6,2019,27985,688,145,47.9,2.0,6,13992.5,114.66666666666667,0,1,0,0
 A6,2019,30985,1863,145,47.9,2.0,6,15492.5,310.5,0,0,0,0
 Q7,2020,62985,10,145,33.2,3.0,5,20995.0,2.0,0,1,0,0
 RS6,2016,44985,49050,325,29.4,4.0,9,11246.25,5450.0,0,1,0,1
 A4,2019,28985,1024,145,38.7,2.0,6,14492.5,170.66666666666666,0,1,0,1
 A4,2019,24985,448,145,39.8,2.0,6,12492.5,74.66666666666667,0,1,0,1
 A4,2019,26985,476,145,39.2,2.0,6,13492.5,79.33333333333333,0,1,0,1
 A7,2019,39985,5201,145,38.7,3.0,6,13328.333333333334,866.8333333333334,0,0,0,0
 A3,2019,21985,2028,145,42.2,1.5,6,14656.666666666666,338.0,0,1,0,1
 A6,2019,45485,3241,145,39.2,3.0,6,15161.666666666666,540.1666666666666,0,0,0,0
 Q5,2019,33985,355,145,39.2,2.0,6,16992.5,59.166666666666664,0,0,0,0
 A5,2019,28985,18,145,39.8,2.0,6,14492.5,3.0,0,0,0,1
 A3,2019,29985,3122,145,41.5,1.5,6,19990.0,520.3333333333334,0,0,0,1
 Q2,2019,28985,824,145,40.9,1.5,6,19323.333333333332,137.33333333333334,1,0,0,1
 A6,2019,31985,2811,145,47.9,2.0,6,15992.5,468.5,0,1,0,0
 A6,2019,31985,27,145,50.4,2.0,6,15992.5,4.5,0,1,0,0
 A4,2019,29485,4254,145,38.2,2.0,6,14742.5,709.0,0,1,0,1
 A1,2019,17985,2252,145,48.7,1.0,6,17985.0,375.3333333333333,0,1,0,1
 Q2,2019,20985,3422,145,47.9,1.6,6,13115.625,570.3333333333334,0,0,0,0
 Q2,2019,23685,37,145,47.9,1.6,6,14803.125,6.166666666666667,0,0,0,0
 A4,2019,27985,7299,145,38.2,2.0,6,13992.5,1216.5,0,1,0,1
 Q2,2019,27985,1414,145,40.9,1.5,6,18656.666666666668,235.66666666666666,0,1,0,1
 Q5,2019,36985,5135,145,38.2,2.0,6,18492.5,855.8333333333334,0,0,0,0
 Q5,2019,37985,6024,145,38.2,2.0,6,18992.5,1004.0,0,0,0,0
 Q5,2020,37985,10,145,32.1,2.0,5,18992.5,2.0,0,1,0,1
 Q7,2019,49985,10,145,33.2,3.0,6,16661.666666666668,1.6666666666666667,0,0,0,0
 Q7,2019,59995,10,145,33.2,3.0,6,19998.333333333332,1.6666666666666667,0,0,0,0
 Q5,2020,47895,10,145,30.7,2.0,5,23947.5,2.0,0,1,0,1
 A4,2020,31985,10,145,42.2,2.0,5,15992.5,2.0,0,1,0,1
 Q7,2015,29985,47606,200,47.9,3.0,10,9995.0,4760.6,0,0,0,0
 A1,2015,12485,26625,30,57.6,1.4,10,8917.857142857143,2662.5,0,1,0,1
 A5,2018,24985,5071,145,50.4,2.0,7,12492.5,724.4285714285714,0,0,0,1
 A5,2015,21985,28011,260,34.9,3.0,10,7328.333333333333,2801.1,0,1,0,1
 Q3,2019,34985,10,145,47.1,2.0,6,17492.5,1.6666666666666667,0,0,0,0
 A5,2019,29985,10,145,51.4,2.0,6,14992.5,1.6666666666666667,0,0,0,0
 Q3,2019,34485,10,145,47.1,2.0,6,17242.5,1.6666666666666667,0,0,0,0
 A1,2019,19685,10,145,49.6,1.0,6,19685.0,1.6666666666666667,1,0,0,1
 A4,2019,34985,10,145,53.3,2.0,6,17492.5,1.6666666666666667,0,0,0,0
 A7,2019,43885,10,145,38.2,3.0,6,14628.333333333334,1.6666666666666667,0,1,0,0
 A6,2019,35895,2000,145,47.9,2.0,6,17947.5,333.3333333333333,0,0,0,0
 Q2,2019,26985,10,145,43.5,1.5,6,17990.0,1.6666666666666667,0,0,0,1
 A6,2019,46985,3510,145,36.2,3.0,6,15661.666666666666,585.0,0,0,0,0
 A3,2019,23985,10,145,44.8,1.5,6,15990.0,1.6666666666666667,0,0,0,1
 A5,2019,28985,10,145,39.8,2.0,6,14492.5,1.6666666666666667,0,0,0,1
 A5,2019,27985,1010,145,39.8,2.0,6,13992.5,168.33333333333334,0,0,0,1
 A6,2019,28985,500,145,47.9,2.0,6,14492.5,83.33333333333333,0,1,0,0
 A4,2019,29985,10,145,42.8,2.0,6,14992.5,1.6666666666666667,0,0,0,1
 A3,2019,21995,10,145,54.3,1.6,6,13746.875,1.6666666666666667,1,0,0,0
 A5,2019,31985,10,145,39.8,2.0,6,15992.5,1.6666666666666667,0,0,0,1
 A5,2019,32485,10,145,51.4,2.0,6,16242.5,1.6666666666666667,0,0,0,0
 A3,2019,21285,10,145,51.4,1.6,6,13303.125,1.6666666666666667,1,0,0,0
 Q7,2019,56985,1510,145,33.2,3.0,6,18995.0,251.66666666666666,0,0,0,0
 RS3,2019,43785,10,145,30.1,2.5,6,17514.0,1.6666666666666667,0,1,0,1
 A4,2016,18498,29845,160,45.6,2.0,9,9249.0,3316.1111111111113,0,1,0,1
 A3,2014,14995,27355,160,42.8,1.8,11,8330.555555555555,2486.818181818182,0,1,0,1
 A4,2016,17998,20885,30,64.2,2.0,9,8999.0,2320.5555555555557,1,0,0,0
 A3,2014,10985,10534,30,56.5,1.2,11,9154.166666666668,957.6363636363636,0,0,0,1
 A3,2016,12995,25895,20,70.6,2.0,9,6497.5,2877.222222222222,1,0,0,0
 A1,2016,11495,32867,0,67.3,1.0,9,11495.0,3651.8888888888887,1,0,0,1
 Q5,2015,18295,42793,205,47.1,2.0,10,9147.5,4279.3,0,1,0,0
 A6,2015,18998,49039,160,50.4,3.0,10,6332.666666666667,4903.9,0,1,0,0
 Q2,2017,18485,22501,145,64.2,1.6,8,11553.125,2812.625,1,0,0,0
 A8,2017,38985,1420,145,50.4,3.0,8,12995.0,177.5,0,0,0,0
 A5,2019,29485,10,145,40.4,2.0,6,14742.5,1.6666666666666667,0,0,0,1
 A5,2017,22998,26939,145,62.8,2.0,8,11499.0,3367.375,0,1,0,0
 A8,2014,18998,24786,205,47.9,3.0,11,6332.666666666667,2253.2727272727275,0,1,0,0
 A4,2017,17698,18761,145,51.4,1.4,8,12641.428571428572,2345.125,1,0,0,1
 A5,2019,27995,10,145,40.4,2.0,6,13997.5,1.6666666666666667,0,0,0,1
 Q3,2019,31985,10,145,42.8,2.0,6,15992.5,1.6666666666666667,1,0,0,0
 A4,2019,30995,10,145,38.7,2.0,6,15497.5,1.6666666666666667,0,0,0,1
 A3,2017,18998,22295,30,56.5,1.4,8,13570.0,2786.875,0,1,0,1
 Q2,2017,16995,18068,145,52.3,1.4,8,12139.285714285716,2258.5,1,0,0,1
 A3,2018,19995,25000,150,42.2,1.5,7,13330.0,3571.4285714285716,1,0,0,1
 Q2,2017,14495,23043,150,55.4,1.0,8,14495.0,2880.375,1,0,0,1
 A5,2014,12998,80902,125,60.1,2.0,11,6499.0,7354.727272727273,0,1,0,0
 A4,2019,32485,10,145,50.4,2.0,6,16242.5,1.6666666666666667,0,0,0,0
 A1,2019,20485,10,145,48.7,1.0,6,20485.0,1.6666666666666667,1,0,0,1
 Q3,2016,18698,26474,145,52.3,2.0,9,9349.0,2941.5555555555557,1,0,0,0
 Q5,2013,15998,65458,235,44.1,3.0,12,5332.666666666667,5454.833333333333,0,1,0,0
 TT,2018,16498,34170,150,47.1,1.8,7,9165.555555555555,4881.428571428572,1,0,0,1
 Q5,2019,31998,100,145,33.2,2.0,6,15999.0,16.666666666666668,0,1,0,1
 Q3,2019,35985,650,145,47.1,2.0,6,17992.5,108.33333333333333,0,0,0,0
 Q5,2019,37985,10,145,38.2,2.0,6,18992.5,1.6666666666666667,0,0,0,0
 Q5,2019,31998,10,145,33.2,2.0,6,15999.0,1.6666666666666667,0,1,0,1
 A4,2019,18998,2928,145,41.5,2.0,6,9499.0,488.0,1,0,0,1
 Q3,2018,19485,7157,145,51.4,1.4,7,13917.857142857143,1022.4285714285714,1,0,0,1
 Q3,2016,19995,31600,160,50.4,2.0,9,9997.5,3511.1111111111113,0,1,0,0
 Q7,2016,47995,46600,300,39.2,4.0,9,11998.75,5177.777777777777,0,1,0,0
 A3,2019,23485,10,145,56.5,2.0,6,11742.5,1.6666666666666667,1,0,0,0
 A5,2018,23998,14078,145,45.6,2.0,7,11999.0,2011.142857142857,0,1,0,1
 A5,2015,17998,13312,125,57.6,2.0,10,8999.0,1331.2,1,0,0,0
 A6,2018,28985,10,145,50.4,2.0,7,14492.5,1.4285714285714286,0,1,0,0
 RS6,2015,46000,20982,325,29.4,4.0,10,11500.0,2098.2,0,1,0,1
 A6,2018,26995,15600,145,50.4,2.0,7,13497.5,2228.5714285714284,0,1,0,0
 A6,2019,33985,5429,145,47.9,2.0,6,16992.5,904.8333333333334,0,0,0,0
 Q2,2019,30985,2710,145,40.9,1.5,6,20656.666666666668,451.6666666666667,0,0,0,1
 Q7,2019,52985,6423,145,33.2,3.0,6,17661.666666666668,1070.5,0,0,0,0
 A1,2017,12698,11017,150,67.3,1.0,8,12698.0,1377.125,1,0,0,1
 Q3,2017,17298,16908,125,51.4,1.4,8,12355.714285714286,2113.5,1,0,0,1
 A4,2017,16498,28801,125,49.6,2.0,8,8249.0,3600.125,1,0,0,1
 A4,2017,16798,23362,145,50.4,1.4,8,11998.57142857143,2920.25,1,0,0,1
 Q5,2013,15998,50025,235,37.7,2.0,12,7999.0,4168.75,1,0,0,1
 Q8,2018,63985,8450,145,32.8,3.0,7,21328.333333333332,1207.142857142857,0,1,0,0
 A6,2018,27985,1790,145,50.4,2.0,7,13992.5,255.71428571428572,0,1,0,0
 A4,2018,19485,10,145,53.3,1.4,7,13917.857142857143,1.4285714285714286,0,1,0,1
